AGE,SEX
13.22655715,1
13.22655715,1
13.22655715,1
13.22655715,1
13.22655715,1
15.1266256,0
15.1266256,0
15.1266256,0
15.1266256,0
15.1266256,0
12.93360712,0
12.93360712,0
12.93360712,0
12.93360712,0
12.93360712,0
10.82272416,0
10.82272416,0
10.82272416,0
10.82272416,0
10.82272416,0
10.0698152,0
10.0698152,0
10.0698152,0
10.0698152,0
10.0698152,0
12.29568789,0
12.29568789,0
12.29568789,0
12.29568789,0
12.29568789,0
9.650924025,0
9.650924025,0
9.650924025,0
9.650924025,0
9.650924025,0
14.46954141,1
14.46954141,1
14.46954141,1
14.46954141,1
14.46954141,1
11.93429158,1
11.93429158,1
11.93429158,1
11.93429158,1
11.93429158,1
10.81724846,1
10.81724846,1
10.81724846,1
10.81724846,1
10.81724846,1
11.97535934,1
11.97535934,1
11.97535934,1
11.97535934,1
11.97535934,1
13.95756331,0
13.95756331,0
13.95756331,0
13.95756331,0
13.95756331,0
13.36071184,1
13.36071184,1
13.36071184,1
13.36071184,1
13.36071184,1
9.347022587,1
9.347022587,1
9.347022587,1
9.347022587,1
9.347022587,1
12.55852156,1
12.55852156,1
12.55852156,1
12.55852156,1
12.55852156,1
11.03901437,0
11.03901437,0
11.03901437,0
11.03901437,0
11.03901437,0
14.72416153,1
14.72416153,1
14.72416153,1
14.72416153,1
14.72416153,1
14.21218344,0
14.21218344,0
14.21218344,0
14.21218344,0
14.21218344,0
10.30527036,1
10.30527036,1
10.30527036,1
10.30527036,1
10.30527036,1
15.27446954,1
15.27446954,1
15.27446954,1
15.27446954,1
15.27446954,1
11.52361396,1
11.52361396,1
11.52361396,1
11.52361396,1
11.52361396,1
14.08350445,1
14.08350445,1
14.08350445,1
14.08350445,1
14.08350445,1
12.74469541,1
12.74469541,1
12.74469541,1
12.74469541,1
12.74469541,1
13.79055442,0
13.79055442,0
13.79055442,0
13.79055442,0
13.79055442,0
15.20876112,1
15.20876112,1
15.20876112,1
15.20876112,1
15.20876112,1
10.19028063,1
10.19028063,1
10.19028063,1
10.19028063,1
10.19028063,1
14.85557837,0
14.85557837,0
14.85557837,0
14.85557837,0
14.85557837,0
14.55441478,0
14.55441478,0
14.55441478,0
14.55441478,0
14.55441478,0
10.4421629,0
10.4421629,0
10.4421629,0
10.4421629,0
10.4421629,0
14.55715264,0
14.55715264,0
14.55715264,0
14.55715264,0
14.55715264,0
12.21355236,0
12.21355236,0
12.21355236,0
12.21355236,0
12.21355236,0
13.66461328,1
13.66461328,1
13.66461328,1
13.66461328,1
13.66461328,1
10.53524983,1
10.53524983,1
10.53524983,1
10.53524983,1
10.53524983,1
9.900068446,0
9.900068446,0
9.900068446,0
9.900068446,0
9.900068446,0
10.26146475,1
10.26146475,1
10.26146475,1
10.26146475,1
10.26146475,1
10.80355921,1
10.80355921,1
10.80355921,1
10.80355921,1
10.80355921,1
9.639972622,0
9.639972622,0
9.639972622,0
9.639972622,0
9.639972622,0
10.04517454,1
10.04517454,1
10.04517454,1
10.04517454,1
10.04517454,1
12.78576318,0
12.78576318,0
12.78576318,0
12.78576318,0
12.78576318,0
12.07665982,0
12.07665982,0
12.07665982,0
12.07665982,0
12.07665982,0
9.35797399,0
9.35797399,0
9.35797399,0
9.35797399,0
9.35797399,0
14.48596852,0
14.48596852,0
14.48596852,0
14.48596852,0
14.48596852,0
11.70431212,1
11.70431212,1
11.70431212,1
11.70431212,1
11.70431212,1
14.68035592,0
14.68035592,0
14.68035592,0
14.68035592,0
14.68035592,0
12.90622861,1
12.90622861,1
12.90622861,1
12.90622861,1
12.90622861,1
12.6954141,1
12.6954141,1
12.6954141,1
12.6954141,1
12.6954141,1
9.442847365,1
9.442847365,1
9.442847365,1
9.442847365,1
9.442847365,1
13.88911704,0
13.88911704,0
13.88911704,0
13.88911704,0
13.88911704,0
12.42162902,0
12.42162902,0
12.42162902,0
12.42162902,0
12.42162902,0
